[23.09.11 21:25:48 FINE]: [BetonQuest] Loaded pl language
[23.09.11 21:25:48 FINE]: [BetonQuest] Loaded en language
[23.09.11 21:25:48 FINE]: [BetonQuest] Loaded de language
[23.09.11 21:25:48 FINE]: [BetonQuest] Loaded fr language
[23.09.11 21:25:48 FINE]: [BetonQuest] Loaded cn language
[23.09.11 21:25:48 FINE]: [BetonQuest] Loaded es language
[23.09.11 21:25:48 FINE]: [BetonQuest] Loaded nl language
[23.09.11 21:25:48 FINE]: [BetonQuest] Loaded it language
[23.09.11 21:25:48 FINE]: [BetonQuest] Loaded hu language
[23.09.11 21:25:48 FINE]: [BetonQuest] Loaded vi language
[23.09.11 21:25:48 INFO]: [BetonQuest] Using SQLite for storing data!
[23.09.11 21:25:48 FINE]: [BetonQuest] Initializing updater with version v64, destination is v64
[23.09.11 21:25:48 INFO]: [BetonQuest] Configuration up to date!
[23.09.11 21:25:48 FINE]: [BetonQuest] Initializing static events
[23.09.11 21:25:48 FINE]: [BetonQuest] Searching package lesson
[23.09.11 21:25:48 FINE]: [BetonQuest] There are no static events defined, skipping
[23.09.11 21:25:48 FINE]: [BetonQuest] Searching package gui
[23.09.11 21:25:48 FINE]: [BetonQuest] There are no static events defined, skipping
[23.09.11 21:25:48 FINE]: [BetonQuest] Searching package items
[23.09.11 21:25:48 FINE]: [BetonQuest] There are no static events defined, skipping
[23.09.11 21:25:48 FINE]: [BetonQuest] Static events initialization done
[23.09.11 21:25:48 FINE]: [BetonQuest] Registering health condition type
[23.09.11 21:25:48 FINE]: [BetonQuest] Registering permission condition type
[23.09.11 21:25:48 FINE]: [BetonQuest] Registering experience condition type
[23.09.11 21:25:48 FINE]: [BetonQuest] Registering tag condition type
[23.09.11 21:25:48 FINE]: [BetonQuest] Registering globaltag condition type
[23.09.11 21:25:48 FINE]: [BetonQuest] Registering point condition type
[23.09.11 21:25:48 FINE]: [BetonQuest] Registering globalpoint condition type
[23.09.11 21:25:48 FINE]: [BetonQuest] Registering and condition type
[23.09.11 21:25:48 FINE]: [BetonQuest] Registering or condition type
[23.09.11 21:25:48 FINE]: [BetonQuest] Registering time condition type
[23.09.11 21:25:48 FINE]: [BetonQuest] Registering weather condition type
[23.09.11 21:25:48 FINE]: [BetonQuest] Registering height condition type
[23.09.11 21:25:48 FINE]: [BetonQuest] Registering item condition type
[23.09.11 21:25:48 FINE]: [BetonQuest] Registering hand condition type
[23.09.11 21:25:48 FINE]: [BetonQuest] Registering location condition type
